Age,Attrition,BusinessTravel,Department,EducationField,EmployeeNumber,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,No,Travel_Rarely,Sales,Life Sciences,330,Female,Sales Representative,Married,3931,No,6,5,4,3,1,2
32,Yes,Travel_Rarely,Research & Development,Life Sciences,331,Male,Laboratory Technician,Single,3730,Yes,4,2,3,2,1,2
39,No,Travel_Rarely,Research & Development,Medical,332,Female,Laboratory Technician,Divorced,2232,No,7,1,3,2,1,2
32,No,Non-Travel,Sales,Marketing,333,Male,Sales Executive,Married,4465,No,4,2,3,2,2,2
41,No,Travel_Rarely,Research & Development,Life Sciences,334,Male,Research Scientist,Divorced,3072,No,17,2,1,0,0,0
40,No,Travel_Rarely,Research & Development,Technical Degree,335,Male,Research Scientist,Divorced,3319,No,9,3,9,8,4,7
45,No,Travel_Rarely,Research & Development,Other,336,Male,Manager,Married,19202,No,25,2,24,0,1,7
31,No,Travel_Frequently,Research & Development,Medical,337,Male,Research Director,Divorced,13675,No,9,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,Life Sciences,338,Female,Research Scientist,Married,2911,No,2,2,2,2,0,2
34,No,Travel_Rarely,Research & Development,Life Sciences,339,Male,Manufacturing Director,Married,5957,No,13,3,11,9,5,9
37,No,Travel_Rarely,Research & Development,Medical,340,Female,Research Scientist,Married,3920,No,17,2,3,1,0,2
45,No,Travel_Frequently,Research & Development,Life Sciences,341,Male,Manufacturing Director,Married,6434,No,9,1,3,2,0,2
37,Yes,Travel_Frequently,Research & Development,Medical,342,Male,Manufacturing Director,Divorced,10048,No,17,5,1,0,0,0
39,No,Travel_Frequently,Research & Development,Technical Degree,343,Female,Healthcare Representative,Single,10938,No,20,1,19,6,11,8
29,No,Travel_Rarely,Research & Development,Life Sciences,346,Male,Research Scientist,Single,2340,No,6,1,6,5,1,5
42,No,Travel_Rarely,Research & Development,Life Sciences,347,Female,Research Scientist,Single,6545,Yes,10,1,3,2,0,2
29,No,Travel_Rarely,Sales,Marketing,349,Male,Sales Executive,Divorced,6931,No,10,2,3,2,0,2
25,No,Travel_Rarely,Research & Development,Life Sciences,350,Female,Manufacturing Director,Married,4898,No,5,3,4,2,1,2
42,No,Travel_Rarely,Research & Development,Medical,351,Female,Laboratory Technician,Divorced,2593,Yes,10,4,9,6,7,8
40,No,Travel_Rarely,Research & Development,Medical,352,Male,Research Director,Divorced,19436,No,22,5,21,7,3,9
51,No,Travel_Rarely,Research & Development,Life Sciences,353,Male,Research Scientist,Married,2723,No,1,0,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,Medical,355,Male,Laboratory Technician,Single,3479,No,6,2,5,4,1,4
32,No,Travel_Frequently,Research & Development,Life Sciences,359,Male,Laboratory Technician,Married,2794,No,5,3,5,1,0,3
38,No,Non-Travel,Sales,Life Sciences,361,Male,Sales Executive,Married,5249,No,13,0,8,7,7,5
32,No,Travel_Rarely,Research & Development,Technical Degree,362,Male,Laboratory Technician,Single,2176,No,9,5,6,2,0,4
46,No,Travel_Rarely,Sales,Technical Degree,363,Female,Manager,Married,16872,Yes,28,2,7,7,7,7
28,Yes,Travel_Rarely,Research & Development,Life Sciences,364,Male,Laboratory Technician,Single,3485,No,5,5,0,0,0,0
29,No,Travel_Rarely,Sales,Medical,366,Male,Sales Executive,Married,6644,No,10,2,0,0,0,0
31,No,Travel_Rarely,Research & Development,Medical,367,Male,Healthcare Representative,Married,5582,No,10,2,9,0,7,8
25,No,Non-Travel,Research & Development,Life Sciences,369,Male,Healthcare Representative,Divorced,4000,No,6,2,6,3,1,5
45,No,Travel_Rarely,Research & Development,Medical,372,Male,Healthcare Representative,Married,13496,Yes,21,2,20,7,4,10
36,No,Travel_Rarely,Research & Development,Life Sciences,373,Male,Laboratory Technician,Married,3210,No,16,4,15,13,10,11
55,No,Travel_Rarely,Research & Development,Medical,374,Male,Manager,Single,19045,Yes,37,2,36,10,4,13
47,Yes,Non-Travel,Research & Development,Life Sciences,376,Male,Manager,Married,11849,Yes,10,2,10,7,9,9
28,No,Travel_Rarely,Research & Development,Medical,377,Male,Research Scientist,Married,2070,No,5,3,5,2,0,4
37,No,Travel_Rarely,Sales,Medical,378,Male,Sales Executive,Married,6502,No,7,5,5,4,0,1
21,No,Travel_Rarely,Research & Development,Medical,379,Male,Research Scientist,Single,3230,No,3,4,3,2,1,0
37,No,Non-Travel,Research & Development,Medical,380,Female,Research Director,Divorced,13603,Yes,15,2,5,2,0,2
35,No,Travel_Rarely,Research & Development,Life Sciences,381,Female,Manager,Divorced,11996,No,10,6,7,7,6,2
38,No,Travel_Rarely,Sales,Medical,382,Female,Sales Executive,Divorced,5605,Yes,8,3,8,0,7,7
26,No,Travel_Frequently,Research & Development,Life Sciences,384,Female,Manufacturing Director,Divorced,6397,No,6,6,6,5,1,4
50,No,Travel_Rarely,Research & Development,Life Sciences,385,Male,Research Director,Divorced,19144,No,28,4,10,4,1,6
53,No,Travel_Rarely,Research & Development,Medical,386,Male,Research Director,Married,17584,Yes,21,5,5,3,1,3
42,No,Travel_Rarely,Sales,Life Sciences,387,Male,Sales Executive,Married,4907,No,20,3,20,16,11,6
29,No,Travel_Frequently,Sales,Life Sciences,388,Male,Sales Executive,Single,4554,No,10,3,10,7,0,9
55,No,Travel_Rarely,Research & Development,Technical Degree,389,Male,Laboratory Technician,Married,5415,Yes,12,4,10,7,0,8
26,No,Travel_Frequently,Research & Development,Medical,390,Male,Healthcare Representative,Married,4741,Yes,5,3,5,3,3,3
37,No,Travel_Rarely,Research & Development,Life Sciences,391,Female,Research Scientist,Single,2115,No,17,3,17,12,5,7
44,Yes,Travel_Frequently,Research & Development,Life Sciences,392,Male,Laboratory Technician,Divorced,3161,Yes,19,0,1,0,0,0
38,No,Travel_Rarely,Research & Development,Life Sciences,393,Male,Healthcare Representative,Divorced,5745,No,10,2,2,2,1,2
26,Yes,Travel_Rarely,Research & Development,Medical,394,Male,Laboratory Technician,Divorced,2373,Yes,5,2,3,2,0,2
28,No,Travel_Rarely,Research & Development,Life Sciences,395,Female,Research Scientist,Single,3310,No,5,3,5,3,0,2
49,No,Travel_Frequently,Research & Development,Life Sciences,396,Female,Research Director,Single,18665,Yes,22,4,3,2,1,2
36,No,Travel_Rarely,Research & Development,Technical Degree,397,Male,Research Scientist,Single,4485,No,10,2,8,0,7,7
31,No,Travel_Frequently,Sales,Marketing,399,Female,Sales Representative,Divorced,2789,No,2,5,2,2,2,2
26,Yes,Travel_Rarely,Sales,Marketing,401,Male,Sales Executive,Single,5828,Yes,8,0,8,7,7,4
37,No,Travel_Frequently,Research & Development,Medical,403,Male,Research Scientist,Married,2326,Yes,4,3,4,2,1,2
42,No,Travel_Frequently,Sales,Marketing,404,Female,Sales Executive,Married,13525,No,23,2,20,4,4,8
18,Yes,Travel_Rarely,Research & Development,Life Sciences,405,Male,Laboratory Technician,Single,1420,No,0,2,0,0,0,0
35,No,Travel_Rarely,Sales,Marketing,406,Male,Sales Executive,Married,8020,No,12,3,11,9,6,9
36,No,Travel_Frequently,Research & Development,Life Sciences,407,Male,Laboratory Technician,Married,3688,No,4,2,1,0,0,0
51,No,Travel_Rarely,Research & Development,Medical,408,Male,Manufacturing Director,Divorced,5482,No,13,3,4,1,1,2
41,No,Travel_Rarely,Sales,Life Sciences,410,Male,Manager,Single,16015,No,22,2,22,10,0,4
18,No,Travel_Rarely,Sales,Medical,411,Female,Sales Representative,Single,1200,No,0,2,0,0,0,0
28,No,Travel_Rarely,Research & Development,Medical,412,Male,Healthcare Representative,Single,5661,No,9,2,8,3,0,7
31,No,Travel_Rarely,Sales,Technical Degree,416,Male,Sales Executive,Married,6929,No,10,3,8,7,7,7
39,No,Travel_Rarely,Research & Development,Medical,417,Male,Healthcare Representative,Divorced,9613,No,19,5,18,10,3,7
36,No,Non-Travel,Research & Development,Life Sciences,419,Female,Laboratory Technician,Married,5674,No,11,3,9,8,0,8
32,No,Travel_Rarely,Sales,Life Sciences,420,Male,Sales Executive,Married,5484,No,13,3,13,8,4,8
38,No,Travel_Rarely,Research & Development,Life Sciences,421,Female,Research Director,Married,12061,No,19,2,10,8,0,1
58,No,Non-Travel,Research & Development,Life Sciences,422,Male,Healthcare Representative,Divorced,5660,Yes,12,2,5,3,1,2
31,No,Travel_Rarely,Research & Development,Technical Degree,423,Male,Research Scientist,Married,4821,Yes,6,4,5,2,0,3
31,No,Travel_Rarely,Human Resources,Human Resources,424,Male,Human Resources,Married,6410,No,9,1,2,2,1,0
45,No,Travel_Frequently,Research & Development,Life Sciences,425,Male,Laboratory Technician,Divorced,5210,No,24,2,24,9,9,11
31,No,Travel_Rarely,Research & Development,Life Sciences,426,Male,Research Scientist,Divorced,2695,Yes,3,2,2,2,2,2
33,No,Travel_Frequently,Research & Development,Life Sciences,428,Female,Manager,Married,11878,No,12,2,10,6,8,8
39,No,Travel_Rarely,Research & Development,Medical,429,Male,Manager,Married,17068,Yes,21,3,21,9,11,10
43,No,Travel_Frequently,Research & Development,Life Sciences,430,Female,Laboratory Technician,Single,2455,No,9,5,8,7,1,7
49,No,Travel_Rarely,Research & Development,Technical Degree,431,Female,Healthcare Representative,Single,13964,Yes,25,2,7,1,0,7
52,Yes,Travel_Rarely,Research & Development,Medical,433,Male,Research Scientist,Married,4941,No,11,3,8,2,7,7
27,No,Travel_Rarely,Research & Development,Life Sciences,434,Female,Research Scientist,Single,2478,Yes,4,2,4,3,1,2
32,No,Travel_Rarely,Sales,Technical Degree,436,Female,Sales Executive,Married,5228,Yes,13,2,13,12,11,9
27,No,Travel_Rarely,Sales,Life Sciences,437,Male,Sales Executive,Single,4478,Yes,5,3,5,4,0,4
31,No,Travel_Rarely,Sales,Marketing,438,Male,Sales Executive,Divorced,7547,No,13,3,7,7,1,7
32,No,Travel_Rarely,Research & Development,Medical,439,Female,Research Scientist,Single,5055,No,10,0,7,7,0,7
28,Yes,Travel_Rarely,Research & Development,Medical,440,Male,Research Scientist,Married,3464,Yes,5,4,3,2,2,2
30,No,Travel_Rarely,Research & Development,Medical,441,Female,Research Scientist,Married,5775,No,11,2,10,8,1,9
31,No,Travel_Frequently,Research & Development,Life Sciences,442,Female,Manufacturing Director,Married,8943,No,10,2,10,9,8,9
39,No,Travel_Frequently,Research & Development,Medical,444,Male,Manager,Married,19272,No,21,2,21,9,13,3
39,Yes,Travel_Rarely,Sales,Medical,445,Female,Sales Executive,Married,5238,Yes,12,3,1,0,0,0
33,No,Travel_Frequently,Sales,Marketing,446,Male,Sales Executive,Single,4682,No,9,6,7,7,0,1
47,No,Travel_Rarely,Research & Development,Life Sciences,447,Male,Research Director,Married,18300,No,21,2,3,2,1,1
43,No,Travel_Frequently,Research & Development,Life Sciences,448,Female,Laboratory Technician,Divorced,5257,No,9,3,9,7,0,0
27,No,Non-Travel,Sales,Marketing,449,Male,Sales Executive,Married,6349,Yes,6,0,5,4,1,4
54,No,Travel_Frequently,Research & Development,Life Sciences,450,Female,Research Scientist,Single,4869,No,20,4,4,3,0,3
43,No,Travel_Rarely,Research & Development,Life Sciences,451,Female,Healthcare Representative,Married,9985,No,10,1,1,0,0,0
45,No,Travel_Rarely,Research & Development,Other,452,Male,Research Scientist,Married,3697,No,12,3,10,9,9,8
40,No,Travel_Rarely,Sales,Medical,453,Male,Sales Executive,Married,7457,Yes,6,2,4,3,0,2
29,Yes,Travel_Rarely,Research & Development,Other,454,Male,Laboratory Technician,Married,2119,Yes,7,4,7,7,0,7
29,No,Travel_Rarely,Research & Development,Other,455,Male,Laboratory Technician,Single,3983,No,4,2,3,2,2,2
30,No,Travel_Rarely,Sales,Marketing,456,Female,Sales Executive,Divorced,6118,No,10,2,10,9,1,2
27,No,Travel_Rarely,Sales,Marketing,458,Female,Sales Executive,Married,6214,No,8,3,8,7,0,7
37,No,Travel_Rarely,Research & Development,Medical,460,Male,Manufacturing Director,Divorced,6347,No,8,2,6,2,0,4
38,No,Travel_Rarely,Research & Development,Life Sciences,461,Male,Research Director,Divorced,11510,Yes,12,3,11,10,2,9
31,No,Travel_Rarely,Research & Development,Medical,462,Female,Manufacturing Director,Single,7143,Yes,11,2,11,9,4,10
29,No,Travel_Rarely,Sales,Marketing,463,Female,Sales Executive,Divorced,8268,Yes,7,2,7,7,1,7
35,No,Travel_Rarely,Research & Development,Technical Degree,464,Male,Manufacturing Director,Single,8095,No,17,5,16,6,0,13
23,No,Travel_Rarely,Research & Development,Life Sciences,465,Male,Research Scientist,Divorced,2904,No,4,2,4,2,0,2
41,No,Travel_Rarely,Research & Development,Medical,466,Male,Manufacturing Director,Single,6032,Yes,8,3,5,4,1,2
47,No,Travel_Frequently,Sales,Medical,467,Male,Sales Representative,Single,2976,No,5,3,0,0,0,0
42,No,Travel_Rarely,Research & Development,Life Sciences,468,Female,Research Director,Single,15992,No,16,2,1,0,0,0
29,No,Non-Travel,Sales,Life Sciences,469,Male,Sales Executive,Married,4649,No,4,3,4,3,0,2
42,No,Travel_Rarely,Human Resources,Technical Degree,470,Male,Human Resources,Divorced,2696,Yes,4,5,3,2,1,0
32,No,Travel_Rarely,Research & Development,Medical,471,Female,Laboratory Technician,Married,2370,No,8,4,8,0,0,7
48,No,Travel_Rarely,Sales,Medical,473,Female,Manager,Married,12504,No,15,3,0,0,0,0
37,No,Travel_Rarely,Research & Development,Medical,474,Male,Research Scientist,Divorced,5974,Yes,13,2,7,7,6,7
30,No,Non-Travel,Sales,Technical Degree,475,Female,Sales Executive,Married,4736,Yes,4,2,2,2,2,2
26,No,Travel_Rarely,Sales,Life Sciences,476,Male,Sales Executive,Married,5296,No,8,3,8,7,7,7
42,No,Travel_Rarely,Research & Development,Other,477,Male,Healthcare Representative,Single,6781,No,14,6,1,0,0,0
21,Yes,Travel_Frequently,Sales,Technical Degree,478,Female,Sales Representative,Single,2174,Yes,3,3,3,2,1,2
36,No,Non-Travel,Sales,Medical,479,Female,Sales Executive,Single,6653,No,7,6,1,0,0,0
36,No,Travel_Frequently,Sales,Medical,481,Male,Sales Executive,Married,9699,No,16,2,13,9,1,12
57,No,Travel_Rarely,Research & Development,Medical,482,Male,Healthcare Representative,Married,6755,No,15,2,3,2,1,2
40,No,Travel_Rarely,Research & Development,Life Sciences,483,Female,Laboratory Technician,Married,2213,Yes,10,3,7,7,1,7
21,No,Non-Travel,Sales,Medical,484,Male,Sales Representative,Single,2610,No,3,3,3,2,2,2
33,Yes,Travel_Rarely,Sales,Marketing,485,Female,Sales Representative,Single,2851,Yes,1,2,1,0,0,0
37,No,Travel_Rarely,Research & Development,Medical,486,Female,Laboratory Technician,Married,3452,No,17,3,5,4,0,3
46,No,Non-Travel,Research & Development,Medical,487,Female,Manufacturing Director,Married,5258,No,7,2,1,0,0,0
41,Yes,Travel_Frequently,Sales,Marketing,488,Male,Sales Executive,Single,9355,No,8,5,8,7,7,7
50,No,Travel_Rarely,Research & Development,Technical Degree,491,Male,Healthcare Representative,Single,10496,No,20,2,4,3,1,3
40,Yes,Travel_Rarely,Sales,Marketing,492,Male,Sales Executive,Married,6380,Yes,8,6,6,4,1,0
31,No,Travel_Rarely,Research & Development,Life Sciences,493,Male,Research Scientist,Single,2657,Yes,3,5,2,2,2,2
21,Yes,Travel_Rarely,Sales,Life Sciences,494,Female,Sales Representative,Single,2716,No,1,0,1,0,0,0
29,No,Travel_Rarely,Research & Development,Life Sciences,495,Male,Research Scientist,Single,2201,No,6,4,3,2,1,2
35,No,Travel_Rarely,Research & Development,Life Sciences,496,Male,Healthcare Representative,Single,6540,No,10,5,1,1,0,0
27,No,Travel_Rarely,Research & Development,Medical,497,Male,Laboratory Technician,Divorced,3816,No,5,2,5,2,0,4
28,No,Travel_Rarely,Sales,Life Sciences,498,Male,Sales Executive,Single,5253,No,7,1,7,5,0,7
49,No,Travel_Rarely,Research & Development,Other,499,Male,Healthcare Representative,Single,10965,No,26,2,5,2,0,0
51,No,Travel_Rarely,Sales,Life Sciences,500,Female,Sales Executive,Married,4936,No,18,2,7,7,0,7
36,No,Travel_Rarely,Research & Development,Life Sciences,501,Female,Research Scientist,Married,2543,No,6,3,2,2,2,2
34,Yes,Non-Travel,Sales,Marketing,502,Male,Sales Executive,Single,5304,Yes,9,3,5,2,0,4
55,No,Travel_Rarely,Research & Development,Life Sciences,505,Female,Manager,Single,16659,Yes,30,2,5,4,1,2
24,No,Travel_Rarely,Sales,Marketing,507,Female,Sales Executive,Divorced,4260,Yes,5,2,5,2,0,3
30,No,Travel_Rarely,Sales,Technical Degree,508,Male,Sales Representative,Married,2476,No,1,3,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,Technical Degree,510,Male,Research Scientist,Single,3102,No,7,2,6,4,0,4
22,No,Travel_Rarely,Research & Development,Medical,511,Female,Research Scientist,Married,2244,No,2,1,2,1,1,2
36,No,Travel_Rarely,Sales,Medical,513,Male,Sales Executive,Married,7596,No,10,2,10,9,9,0
30,Yes,Travel_Frequently,Research & Development,Technical Degree,514,Male,Research Scientist,Single,2285,Yes,3,4,1,0,0,0
37,No,Travel_Rarely,Research & Development,Life Sciences,515,Female,Laboratory Technician,Divorced,3034,No,18,2,18,7,12,17
40,No,Travel_Rarely,Sales,Marketing,516,Female,Sales Executive,Divorced,5715,No,8,5,5,4,1,3
42,No,Travel_Rarely,Research & Development,Life Sciences,517,Female,Laboratory Technician,Divorced,2576,No,8,5,5,2,1,2
37,No,Travel_Rarely,Research & Development,Life Sciences,518,Male,Manufacturing Director,Single,4197,Yes,18,2,1,0,0,1
43,No,Travel_Rarely,Research & Development,Life Sciences,520,Male,Research Director,Divorced,14336,No,25,3,25,10,3,9
40,No,Travel_Rarely,Research & Development,Medical,521,Female,Laboratory Technician,Married,3448,No,20,3,1,0,0,0
54,No,Travel_Rarely,Research & Development,Medical,522,Male,Research Director,Married,19406,No,24,4,4,2,1,2
34,No,Non-Travel,Sales,Marketing,523,Female,Sales Executive,Married,6538,No,6,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,Medical,524,Female,Manufacturing Director,Married,4306,No,13,5,13,10,3,12
43,No,Travel_Frequently,Research & Development,Medical,525,Male,Laboratory Technician,Married,2258,No,8,1,3,2,1,2
43,No,Travel_Rarely,Research & Development,Other,526,Female,Healthcare Representative,Divorced,4522,Yes,8,3,5,2,0,2
25,No,Travel_Rarely,Sales,Life Sciences,527,Female,Sales Executive,Single,4487,Yes,5,3,5,4,1,3
37,No,Non-Travel,Research & Development,Medical,529,Female,Research Scientist,Married,4449,Yes,15,2,13,11,10,7
31,No,Travel_Rarely,Research & Development,Life Sciences,530,Male,Laboratory Technician,Married,2218,No,4,3,4,2,3,2
39,No,Travel_Frequently,Research & Development,Life Sciences,531,Male,Manager,Divorced,19197,Yes,21,3,21,8,1,6
56,No,Travel_Frequently,Sales,Life Sciences,532,Female,Sales Executive,Married,13212,No,36,0,7,7,7,7
30,No,Travel_Rarely,Sales,Technical Degree,533,Female,Sales Executive,Single,6577,No,6,6,5,4,4,4
41,No,Travel_Rarely,Sales,Marketing,534,Male,Sales Executive,Married,8392,No,10,2,10,7,0,7
28,No,Travel_Rarely,Research & Development,Medical,536,Male,Laboratory Technician,Divorced,4558,No,10,2,10,0,1,8
25,Yes,Travel_Rarely,Research & Development,Medical,538,Male,Laboratory Technician,Married,4031,No,6,5,2,2,0,2
52,No,Travel_Rarely,Research & Development,Medical,543,Male,Manufacturing Director,Married,7969,Yes,28,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,Life Sciences,544,Male,Research Scientist,Married,2654,No,8,3,2,2,0,2
52,No,Travel_Rarely,Research & Development,Life Sciences,546,Female,Manager,Married,16555,No,31,2,5,2,1,4
42,No,Travel_Frequently,Research & Development,Life Sciences,547,Female,Research Scientist,Divorced,4556,No,19,3,5,4,0,2
30,No,Travel_Rarely,Research & Development,Life Sciences,548,Female,Manufacturing Director,Single,6091,No,11,2,5,4,0,2
60,No,Travel_Rarely,Research & Development,Life Sciences,549,Female,Manager,Married,19566,No,33,5,29,8,11,10
46,No,Travel_Rarely,Research & Development,Medical,550,Female,Manufacturing Director,Divorced,4810,No,19,5,10,7,0,8
42,No,Travel_Frequently,Research & Development,Technical Degree,551,Female,Healthcare Representative,Married,4523,No,7,4,6,5,0,4
24,Yes,Travel_Rarely,Sales,Technical Degree,554,Female,Sales Representative,Single,3202,Yes,6,4,5,3,1,4
34,Yes,Travel_Frequently,Sales,Marketing,555,Female,Sales Representative,Divorced,2351,No,3,3,2,2,1,0
38,No,Travel_Frequently,Research & Development,Life Sciences,556,Male,Laboratory Technician,Married,1702,Yes,1,3,1,0,0,0
40,No,Travel_Rarely,Sales,Life Sciences,558,Female,Manager,Married,18041,No,21,2,20,15,1,12
26,No,Travel_Rarely,Research & Development,Life Sciences,560,Female,Research Scientist,Divorced,2886,No,3,3,3,2,0,2
30,No,Non-Travel,Research & Development,Life Sciences,562,Male,Laboratory Technician,Married,2097,No,9,3,5,3,1,4
29,No,Travel_Rarely,Research & Development,Medical,564,Male,Research Director,Married,11935,No,10,2,10,2,0,7
29,Yes,Travel_Rarely,Research & Development,Technical Degree,565,Female,Research Scientist,Married,2546,No,6,2,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,Technical Degree,566,Male,Human Resources,Single,2564,No,1,3,1,0,0,0
30,No,Non-Travel,Sales,Other,567,Female,Sales Executive,Married,8412,No,10,3,9,8,7,8
57,No,Travel_Rarely,Sales,Marketing,568,Male,Manager,Divorced,14118,No,32,3,1,0,0,0
50,No,Travel_Rarely,Research & Development,Life Sciences,569,Male,Manager,Married,17046,No,28,2,27,10,15,7
30,No,Non-Travel,Research & Development,Medical,571,Female,Laboratory Technician,Single,2564,No,12,2,11,7,6,7
60,No,Travel_Frequently,Sales,Marketing,573,Female,Sales Executive,Married,10266,No,22,5,18,13,13,11
47,No,Travel_Rarely,Research & Development,Medical,574,Female,Manufacturing Director,Divorced,5070,No,20,2,5,0,0,4
46,No,Travel_Rarely,Research & Development,Life Sciences,575,Male,Research Director,Married,17861,No,26,2,3,2,0,1
35,No,Travel_Rarely,Research & Development,Life Sciences,577,Male,Laboratory Technician,Single,4230,No,6,2,5,4,4,3
54,No,Travel_Rarely,Research & Development,Life Sciences,578,Female,Laboratory Technician,Single,3780,No,19,3,1,0,0,0
34,No,Travel_Rarely,Research & Development,Life Sciences,579,Male,Research Scientist,Divorced,2768,No,14,3,7,3,5,7
46,No,Travel_Rarely,Sales,Marketing,580,Female,Sales Executive,Married,9071,Yes,15,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,Life Sciences,581,Male,Manufacturing Director,Divorced,10648,No,13,6,13,8,0,8
33,Yes,Travel_Rarely,Research & Development,Medical,582,Male,Manager,Married,13610,Yes,15,2,7,6,7,7
33,Yes,Travel_Rarely,Research & Development,Medical,584,Male,Laboratory Technician,Divorced,3408,No,8,2,4,3,1,3
30,No,Travel_Rarely,Sales,Marketing,585,Male,Sales Representative,Single,2983,No,4,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,Life Sciences,586,Male,Healthcare Representative,Married,7632,Yes,10,2,8,7,0,0
31,Yes,Travel_Frequently,Research & Development,Life Sciences,587,Male,Healthcare Representative,Married,9824,No,12,2,1,0,0,0
34,Yes,Travel_Frequently,Human Resources,Human Resources,590,Female,Human Resources,Divorced,9950,Yes,11,2,3,2,0,2
42,No,Travel_Frequently,Research & Development,Other,591,Male,Laboratory Technician,Married,2093,No,8,4,2,2,2,0
36,No,Non-Travel,Sales,Medical,592,Male,Sales Executive,Single,9980,No,10,3,10,3,9,7
22,Yes,Travel_Frequently,Research & Development,Technical Degree,593,Male,Laboratory Technician,Single,3894,No,4,3,2,2,1,2
48,No,Travel_Rarely,Sales,Marketing,595,Female,Sales Executive,Married,4051,No,14,2,9,7,6,7
55,No,Travel_Rarely,Sales,Life Sciences,597,Female,Manager,Single,16835,No,37,2,10,9,7,7
41,No,Non-Travel,Sales,Life Sciences,599,Male,Sales Executive,Single,6230,No,16,3,14,3,1,10
35,No,Travel_Rarely,Sales,Marketing,600,Male,Sales Executive,Married,4717,No,15,2,11,9,6,9
40,No,Travel_Rarely,Research & Development,Life Sciences,601,Female,Manufacturing Director,Single,13237,No,22,3,20,6,5,13
39,No,Travel_Frequently,Research & Development,Life Sciences,602,Female,Laboratory Technician,Married,3755,No,8,3,8,3,0,7
31,No,Travel_Rarely,Sales,Life Sciences,604,Male,Sales Executive,Single,6582,Yes,10,2,6,5,0,5
42,No,Travel_Rarely,Research & Development,Medical,605,Male,Manufacturing Director,Married,7406,Yes,10,5,10,9,5,8
45,No,Travel_Rarely,Sales,Other,606,Male,Sales Executive,Married,4805,No,9,3,8,7,3,7
26,Yes,Travel_Frequently,Human Resources,Life Sciences,608,Female,Human Resources,Divorced,2741,Yes,8,2,7,7,1,0
29,No,Travel_Rarely,Research & Development,Technical Degree,611,Male,Manufacturing Director,Divorced,4262,No,8,2,3,2,1,2
33,No,Travel_Rarely,Research & Development,Medical,612,Female,Research Director,Divorced,16184,No,10,2,6,1,0,5
31,No,Travel_Rarely,Sales,Life Sciences,613,Male,Manager,Divorced,11557,No,10,3,5,4,0,1
18,Yes,Travel_Frequently,Sales,Marketing,614,Male,Sales Representative,Single,1878,Yes,0,3,0,0,0,0
40,No,Non-Travel,Sales,Other,615,Male,Sales Executive,Divorced,10932,No,20,2,1,0,0,1
41,No,Non-Travel,Research & Development,Other,616,Female,Healthcare Representative,Single,6811,Yes,10,3,8,7,0,7
26,No,Travel_Rarely,Sales,Medical,618,Male,Sales Executive,Divorced,4306,No,8,5,0,0,0,0
35,No,Travel_Rarely,Sales,Medical,620,Female,Sales Executive,Single,4859,No,5,3,5,4,0,3
34,No,Travel_Rarely,Sales,Life Sciences,621,Male,Sales Executive,Single,5337,No,10,3,10,7,5,7
26,Yes,Travel_Rarely,Research & Development,Technical Degree,622,Male,Laboratory Technician,Single,2340,Yes,1,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,Technical Degree,623,Female,Manufacturing Director,Single,7491,No,12,3,6,5,1,2
46,No,Travel_Frequently,Research & Development,Medical,624,Female,Healthcare Representative,Married,10527,No,28,3,2,2,1,2
41,No,Travel_Rarely,Sales,Life Sciences,625,Female,Manager,Married,16595,No,22,2,18,16,11,8
37,No,Non-Travel,Sales,Medical,626,Male,Sales Executive,Divorced,8834,No,9,6,9,5,7,7
52,No,Travel_Rarely,Research & Development,Technical Degree,630,Male,Research Scientist,Divorced,5577,Yes,18,3,10,9,6,9
32,Yes,Non-Travel,Sales,Other,631,Male,Sales Executive,Married,4707,No,6,2,4,2,1,2
24,No,Travel_Frequently,Sales,Medical,632,Male,Sales Representative,Married,2400,No,3,3,2,2,2,1
38,No,Travel_Rarely,Research & Development,Medical,634,Female,Healthcare Representative,Married,9824,No,18,4,1,0,0,0
37,No,Travel_Rarely,Research & Development,Life Sciences,635,Female,Manufacturing Director,Married,6447,No,8,2,6,5,4,3
49,No,Travel_Rarely,Research & Development,Life Sciences,638,Male,Research Director,Divorced,19502,Yes,31,5,31,9,0,9
24,No,Travel_Rarely,Research & Development,Medical,639,Male,Research Scientist,Married,2725,Yes,6,3,6,5,1,4
26,No,Travel_Rarely,Sales,Marketing,641,Male,Sales Executive,Married,6272,No,6,5,5,3,1,4
24,No,Travel_Rarely,Research & Development,Other,643,Male,Laboratory Technician,Married,2127,No,1,2,1,0,0,0
50,No,Travel_Frequently,Human Resources,Medical,644,Male,Manager,Married,18200,No,32,2,32,5,10,7
25,No,Travel_Rarely,Sales,Medical,645,Male,Sales Representative,Married,2096,No,7,1,7,4,0,6
